amarela	amarelo+A+F+SG
amarelão	amarelo+A+AUG+M+SG
amarelãozinho	amarelo+A+AUG+DIM+M+SG
amarelas	amarelo+A+F+PL
amarelazinha	amarelo+A+DIM+F+SG
amarelazinhas	amarelo+A+DIM+F+PL
amarelinha	amarelo+A+DIM+F+SG
amarelinhas	amarelo+A+DIM+F+PL
amarelinho	amarelo+A+DIM+M+SG
amarelinhos	amarelo+A+DIM+M+PL
amarelíssima	amarelo+A+SUPER+F+SG
amarelíssimas	amarelo+A+SUPER+F+PL
amarelíssimo	amarelo+A+SUPER+M+SG
amarelíssimos	amarelo+A+SUPER+M+PL
amarelita	amarelo+A+DIM+F+SG
amarelitas	amarelo+A+DIM+F+PL
amarelito	amarelo+A+DIM+M+SG
amarelitos	amarelo+A+DIM+M+PL
amarelo	amarelo+A+M+SG
amarelões	amarelo+A+AUG+M+PL
amarelõezinhos	amarelo+A+AUG+DIM+M+PL
amarelona	amarelo+A+AUG+F+SG
amarelonas	amarelo+A+AUG+F+PL
amarelonazinha	amarelo+A+AUG+DIM+F+SG
amarelonazinhas	amarelo+A+AUG+DIM+F+PL
amareloninha	amarelo+A+AUG+DIM+F+SG
amareloninhas	amarelo+A+AUG+DIM+F+PL
amarelos	amarelo+A+M+PL
amarelozinho	amarelo+A+DIM+M+SG
amarelozinhos	amarelo+A+DIM+M+PL
anã	anão+A+F+SG
anão	anão+A+M+SG
anãos	anão+A+M+PL
anãozinho	anão+A+DIM+M+SG
anãozinhos	anão+A+DIM+M+PL
anãs	anão+A+F+PL
anãzinha	anão+A+DIM+F+SG
anãzinhas	anão+A+DIM+F+PL
anões	anão+A+M+PL
anõezinhos	anão+A+DIM+M+PL
beirã	beirão+A+F+SG
beirão	beirão+A+M+SG
beirãozinho	beirão+A+DIM+M+SG
beirãs	beirão+A+F+PL
beirãzinha	beirão+A+DIM+F+SG
beirãzinhas	beirão+A+DIM+F+PL
beiroa	beirão+A+F+SG
beiroas	beirão+A+F+PL
beiroazinha	beirão+A+DIM+F+SG
beiroazinhas	beirão+A+DIM+F+PL
beirões	beirão+A+M+PL
beirõezinhos	beirão+A+DIM+M+PL
beiroinha	beirão+A+DIM+F+SG
beiroinhas	beirão+A+DIM+F+PL
cã	cão+A+F+SG
cães	cão+A+M+PL
cãezinhos	cão+A+DIM+M+PL
cãezitos	cão+A+DIM+M+PL
canaz	cão+A+AUG+M+SG
canazes	cão+A+AUG+M+PL
canazezinhos	cão+A+AUG+DIM+M+PL
canazinho	cão+A+AUG+DIM+M+SG
canazinhos	cão+A+AUG+DIM+M+PL
canhol	cão+A+DIM+M+SG
canicalho	cão+A+DIM+M+SG
canicalhos	cão+A+DIM+M+PL
canicho	cão+A+DIM+M+SG
canichos	cão+A+DIM+M+PL
canito	cão+A+DIM+M+SG
canitos	cão+A+DIM+M+PL
canzarrão	cão+A+AUG+M+SG
canzarrãozinho	cão+A+AUG+DIM+M+SG
canzarrões	cão+A+AUG+M+PL
canzarrõezinhos	cão+A+AUG+DIM+M+PL
cão	cão+A+M+SG
cãos	cão+A+M+PL
cãozinho	cão+A+DIM+M+SG
cãozinhos	cão+A+DIM+M+PL
cãozito	cão+A+DIM+M+SG
cãs	cão+A+F+PL
catalã	catalão+A+F+SG
catalães	catalão+A+M+PL
catalãezinhos	catalão+A+DIM+M+PL
